CustomerID,Country,user_education,Gender,UsesAdvancedFeatures,AppEngagementSeconds,LastLoginDaysAgo,Profession,SubscriptionType,UsesVR,RenewSubscription,Age,DesignProjectScale,NumberOfDesigns,TutorialProgressionType,FrequencyOfDesignToolUsage,CustomerSupportCall
CUST00054,USA,High School,Female,N,2438,24,Student,Basic,Y,Yes,27.0,Mixed-use,139,Advanced,Monthly,N
CUST00055,USA,Master's,Female,N,11733,5,Architect,Pay-as-you-go,Y,No,33.0,Large,160,Intermediate,Weekly,Y
CUST00056,USA,Master's,Female,N,2368,2,Architect,Basic,Y,Yes,24.0,Mixed-use,163,Not Attended,Monthly,N
CUST00057,UK,Bachelor's,Female,Y,779,6,Hobbyist,Basic,Y,No,34.0,Large,142,Beginner,Daily,Y
CUST00058,USA,Bachelor's,Female,N,2825,4,Architect,Basic,Y,No,28.0,Large,52,Beginner,Daily,Y
CUST00059,UK,Bachelor's,Male,N,3510,7,Hobbyist,Basic,Y,No,36.0,Large,86,Beginner,Daily,Y
CUST00060,USA,Doctorate,Male,N,2624,12,Student,Basic,Y,No,27.0,Large,166,Beginner,Daily,Y
CUST00061,USA,Master's,Male,Y,5340,10,Hobbyist,Basic,Y,Yes,39.0,Small,43,Beginner,Weekly,N
CUST00062,UK,Doctorate,Female,Y,2311,6,Student,Basic,Y,No,49.0,Large,24,Beginner,Daily,Y
CUST00063,USA,High School,Male,N,5110,4,Hobbyist,Pay-as-you-go,Y,Yes,34.0,Medium,165,Advanced,Monthly,N
CUST00064,UK,Bachelor's,Female,N,1316,5,Interior Designer,Basic,Y,No,35.0,Large,53,Beginner,Daily,Y
CUST00065,USA,Master's,Male,N,100,1,Architect,Basic,Y,Yes,25.0,Small,123,Beginner,Weekly,Y
CUST00066,USA,Master's,Female,N,2021,7,Student,Basic,Y,No,32.0,Large,164,Intermediate,Weekly,Y
CUST00067,Turkey,Bachelor's,Male,N,80,32,Hobbyist,Basic,N,Yes,28.0,Small,144,Beginner,Daily,Y
CUST00068,UK,Doctorate,Female,N,2070,153,Hobbyist,Basic,Y,Yes,37.0,Mixed-use,126,Advanced,Monthly,N
CUST00069,USA,Bachelor's,Female,Y,2654,13,Student,Basic,Y,No,31.0,Large,157,Beginner,Daily,Y
CUST00070,USA,Master's,Female,N,292,5,Interior Designer,Basic,Y,Yes,47.0,Mixed-use,61,Not Attended,Monthly,N
CUST00071,USA,High School,Female,N,1320,1,Architect,Pay-as-you-go,Y,Yes,46.0,Medium,141,Advanced,Monthly,N
CUST00072,USA,High School,Female,N,1722,7,Interior Designer,Basic,Y,No,34.0,Large,52,Beginner,Daily,Y
CUST00073,UK,Bachelor's,Female,N,3339,65,Architect,Basic,Y,Yes,19.0,Small,144,Beginner,Daily,Y
CUST00074,USA,Master's,Female,N,452,110,Interior Designer,Basic,Y,Yes,35.0,Mixed-use,147,Advanced,Monthly,N
CUST00075,Canada,Master's,Female,N,3705,1,Interior Designer,Basic,Y,Yes,31.0,Mixed-use,172,Advanced,Weekly,N
CUST00076,Turkey,Bachelor's,Male,N,85,1,Architect,Pay-as-you-go,Y,Yes,27.0,Medium,87,Advanced,Monthly,N
CUST00077,UK,Bachelor's,Female,N,2423,162,Hobbyist,Basic,Y,Yes,43.0,Mixed-use,90,Advanced,Weekly,N
CUST00078,USA,Bachelor's,Female,N,1274,1,Interior Designer,Basic,Y,No,22.0,Large,68,Beginner,Daily,Y
CUST00079,Turkey,Master's,Male,N,1549,1,Interior Designer,Pay-as-you-go,Y,No,32.0,Large,139,Beginner,Daily,Y
CUST00080,USA,High School,Male,Y,1062,2,Hobbyist,Basic,Y,Yes,31.0,Small,131,Beginner,Daily,Y
CUST00081,USA,Bachelor's,Female,N,32619,53,Interior Designer,Basic,Y,Yes,21.0,Mixed-use,159,Advanced,Monthly,N
CUST00082,USA,Master's,Female,N,4036,1,Interior Designer,Basic,Y,Yes,35.0,Mixed-use,148,Intermediate,Weekly,N
CUST00083,USA,High School,Female,N,39,0,Hobbyist,Basic,Y,Yes,30.0,Small,110,Beginner,Weekly,N
CUST00084,USA,Bachelor's,Female,N,2359,7,Architect,Basic,Y,No,38.0,Large,28,Beginner,Daily,Y
CUST00085,USA,Master's,Female,Y,1023,2,Interior Designer,Basic,Y,No,22.0,Large,177,Beginner,Daily,Y
CUST00086,USA,Master's,Female,N,2480,19,Architect,Basic,Y,No,35.0,Large,144,Beginner,Daily,Y
CUST00087,USA,High School,Male,N,1255,11,Architect,Basic,N,Yes,39.0,Medium,140,Advanced,Monthly,N
CUST00088,USA,High School,Female,N,4455,2,Hobbyist,Basic,Y,Yes,40.0,Medium,192,Intermediate,Monthly,N
CUST00089,USA,Bachelor's,Male,N,2543,61,Architect,Basic,Y,Yes,21.0,Medium,73,Advanced,Monthly,N
CUST00090,USA,Bachelor's,Female,N,1359,8,Hobbyist,Basic,Y,No,25.0,Large,42,Intermediate,Daily,Y
CUST00091,USA,High School,Female,Y,2324,6,Architect,Basic,Y,Yes,28.0,Small,29,Beginner,Daily,Y
CUST00092,Turkey,Bachelor's,Male,N,4103,4,Architect,Basic,Y,Yes,39.0,Medium,70,Advanced,Monthly,N
CUST00093,USA,Bachelor's,Male,N,3667,30,Architect,Pay-as-you-go,Y,Yes,33.0,Medium,138,Advanced,Monthly,N
CUST00094,USA,High School,Male,N,488,10,Student,Basic,Y,No,29.0,Large,160,Intermediate,Weekly,Y
CUST00095,Turkey,Bachelor's,Female,N,2724,2,Interior Designer,Basic,Y,Yes,48.0,Mixed-use,138,Advanced,Weekly,N
CUST00096,USA,Master's,Male,N,1392,1,Interior Designer,Basic,N,No,23.0,Large,138,Intermediate,Daily,Y
CUST00097,Turkey,Bachelor's,Female,N,2573,23,Architect,Basic,Y,Yes,28.0,Small,193,Intermediate,Monthly,N
CUST00098,Turkey,Bachelor's,Female,N,3524,18,Student,Basic,Y,No,37.0,Large,38,Intermediate,Daily,Y
CUST00099,USA,High School,Male,N,1847,23,Architect,Pay-as-you-go,Y,Yes,35.0,Small,160,Beginner,Daily,Y
CUST00100,USA,Master's,Male,N,107535,30,Hobbyist,Basic,Y,Yes,37.0,Small,55,Beginner,Daily,Y
CUST00101,USA,Master's,Female,N,2227,7,Architect,Basic,Y,No,30.0,Large,153,Beginner,Daily,Y
CUST00102,USA,Master's,Female,N,334,7,Student,Basic,Y,Yes,34.0,Mixed-use,45,Intermediate,Weekly,N
CUST00103,USA,Bachelor's,Female,N,224,8,Student,Basic,Y,No,21.0,Large,164,Beginner,Daily,Y
CUST00104,USA,Doctorate,Female,N,367,18,Hobbyist,Basic,Y,No,26.0,Large,183,Intermediate,Weekly,Y
CUST00105,USA,Master's,Female,N,306,3,Architect,Basic,N,Yes,27.0,Mixed-use,42,Not Attended,Monthly,N
CUST00106,Turkey,Doctorate,Female,N,2317,5,Other,Basic,Y,No,34.0,Large,75,Beginner,Daily,Y
CUST00107,USA,Bachelor's,Male,N,890,19,Hobbyist,Basic,Y,Yes,24.0,Small,71,Intermediate,Weekly,N
CUST00108,USA,Bachelor's,Female,N,2002,6,Interior Designer,Basic,Y,Yes,38.0,Mixed-use,42,Advanced,Weekly,N
CUST00109,USA,Bachelor's,Male,N,2903,57,Student,Basic,Y,No,29.0,Large,30,Beginner,Daily,Y
CUST00110,USA,Bachelor's,Female,N,2504,1,Hobbyist,Basic,Y,No,36.0,Large,160,Beginner,Daily,Y
CUST00111,Turkey,High School,Female,N,951,44,Student,Basic,N,No,26.0,Large,140,Beginner,Daily,Y
CUST00112,USA,Master's,Female,N,1327,136,Hobbyist,Basic,Y,No,30.0,Large,177,Beginner,Daily,Y
CUST00113,USA,Bachelor's,Female,N,2421,26,Interior Designer,Basic,Y,Yes,30.0,Mixed-use,175,Not Attended,Monthly,N
CUST00114,Turkey,High School,Female,N,1019,5,Interior Designer,Premium,Y,Yes,29.0,Mixed-use,170,Advanced,Monthly,N
CUST00115,USA,Doctorate,Male,N,1048,15,Student,Basic,Y,Yes,46.0,Mixed-use,163,Intermediate,Weekly,N
CUST00116,USA,Master's,Male,N,3323,5,Student,Basic,Y,Yes,36.0,Mixed-use,158,Advanced,Monthly,N
CUST00117,USA,Bachelor's,Female,N,509,3,Interior Designer,Premium,Y,Yes,32.0,Mixed-use,43,Advanced,Monthly,N
CUST00118,Turkey,Master's,Female,Y,2225,24,Architect,Basic,Y,No,32.0,Large,131,Beginner,Daily,Y
CUST00119,USA,Bachelor's,Female,N,1641,16,Student,Basic,Y,Yes,29.0,Mixed-use,113,Advanced,Monthly,N
CUST00120,USA,Master's,Male,N,1144,1,Architect,Basic,Y,Yes,38.0,Small,158,Intermediate,Monthly,N
CUST00121,Turkey,Master's,Male,N,2334,29,Interior Designer,Basic,N,Yes,24.0,Mixed-use,3,Advanced,Monthly,N
CUST00122,Azerbaijan,Bachelor's,Male,N,1415,87,Architect,Basic,Y,Yes,45.0,Medium,97,Advanced,Monthly,N
CUST00123,USA,Doctorate,Female,Y,2754,3,Interior Designer,Basic,Y,No,27.0,Large,149,Beginner,Daily,Y
CUST00124,Turkey,Master's,Male,N,1099,5,Hobbyist,Basic,N,Yes,26.0,Small,104,Beginner,Daily,Y
CUST00125,USA,Master's,Female,N,960,12,Architect,Basic,Y,No,41.0,Large,140,Beginner,Daily,Y
CUST00126,Turkey,Master's,Female,N,2750,3,Hobbyist,Basic,Y,No,21.0,Large,157,Intermediate,Daily,Y
CUST00127,USA,High School,Female,N,2753,10,Architect,Basic,Y,Yes,48.0,Medium,17,Advanced,Monthly,N
CUST00128,Turkey,Bachelor's,Female,N,23287,7,Interior Designer,Basic,N,Yes,29.0,Mixed-use,118,Advanced,Monthly,N
CUST00129,USA,Bachelor's,Male,N,2140,3,Interior Designer,Basic,Y,No,42.0,Large,80,Beginner,Daily,Y
CUST00130,USA,Bachelor's,Male,N,4499,8,Architect,Basic,Y,Yes,37.0,Small,145,Intermediate,Monthly,N
CUST00131,Azerbaijan,High School,Male,N,2554,5,Student,Basic,Y,No,33.0,Large,132,Intermediate,Daily,Y
CUST00132,USA,Bachelor's,Female,N,1333,31,Architect,Pay-as-you-go,Y,No,44.0,Large,49,Beginner,Daily,Y
CUST00133,USA,Doctorate,Male,N,928,182,Interior Designer,Basic,Y,No,29.0,Large,138,Beginner,Daily,Y
CUST00134,USA,Doctorate,Female,N,4289,5,Student,Basic,Y,No,39.0,Large,55,Beginner,Daily,Y
CUST00135,USA,Doctorate,Female,Y,113282,11,Student,Basic,Y,Yes,35.0,Mixed-use,191,Not Attended,Monthly,N
CUST00136,USA,Master's,Female,N,1948,2,Interior Designer,Basic,Y,No,32.0,Large,143,Beginner,Daily,Y
CUST00137,USA,Master's,Female,N,1933,161,Architect,Basic,Y,No,28.0,Large,42,Intermediate,Weekly,Y
CUST00138,USA,Master's,Male,N,2847,13,Student,Basic,Y,Yes,20.0,Mixed-use,64,Advanced,Weekly,N
CUST00139,USA,Bachelor's,Female,N,1195,86,Student,Basic,Y,No,31.0,Large,125,Beginner,Daily,Y
CUST00140,USA,Master's,Female,N,54,12,Interior Designer,Basic,N,Yes,39.0,Mixed-use,74,Not Attended,Monthly,N
CUST00141,USA,Master's,Male,N,4390,56,Interior Designer,Basic,N,Yes,30.0,Mixed-use,43,Not Attended,Monthly,N
CUST00142,USA,Master's,Female,N,73909,4,Student,Basic,Y,No,34.0,Large,156,Beginner,Daily,Y
CUST00143,USA,Master's,Male,Y,545,145,Interior Designer,Basic,Y,No,24.0,Large,54,Intermediate,Daily,Y
CUST00144,USA,Doctorate,Female,N,2831,23,Interior Designer,Basic,Y,No,21.0,Large,49,Beginner,Daily,Y
CUST00145,USA,Bachelor's,Male,Y,1634,1,Interior Designer,Basic,Y,No,29.0,Large,78,Beginner,Daily,Y
CUST00146,UK,Bachelor's,Female,N,1810,57,Interior Designer,Basic,Y,No,39.0,Large,158,Beginner,Daily,Y
CUST00147,UK,Bachelor's,Female,N,3290,5,Architect,Pay-as-you-go,Y,Yes,33.0,Mixed-use,189,Intermediate,Weekly,N
CUST00148,USA,Master's,Female,N,472,4,Hobbyist,Basic,Y,No,25.0,Large,154,Intermediate,Weekly,Y
CUST00149,USA,Bachelor's,Female,N,4273,116,Student,Basic,Y,No,22.0,Large,163,Beginner,Daily,Y
CUST00150,USA,Master's,Male,N,2326,67,Hobbyist,Basic,Y,Yes,43.0,Small,12,Beginner,Weekly,Y
CUST00151,USA,Bachelor's,Male,N,50351,25,Hobbyist,Pay-as-you-go,Y,Yes,31.0,Medium,86,Not Attended,Monthly,N
CUST00152,UK,Master's,Female,N,2261,34,Student,Basic,Y,No,33.0,Large,97,Beginner,Daily,Y
CUST00153,USA,High School,Female,N,255,3,Architect,Pay-as-you-go,Y,Yes,38.0,Small,31,Beginner,Daily,Y
CUST00154,USA,Master's,Female,N,373,9,Interior Designer,Basic,N,No,19.0,Large,128,Intermediate,Daily,Y
CUST00155,UK,High School,Female,Y,22,1,Student,Basic,Y,Yes,28.0,Mixed-use,145,Not Attended,Monthly,N
CUST00156,USA,Doctorate,Female,Y,3102,1,Hobbyist,Basic,Y,No,24.0,Large,133,Beginner,Daily,Y
CUST00157,USA,Master's,Female,N,5147,3,Architect,Basic,Y,Yes,24.0,Mixed-use,7,Intermediate,Weekly,N
CUST00158,USA,Doctorate,Female,N,284,7,Architect,Basic,Y,Yes,28.0,Mixed-use,167,Advanced,Weekly,N
CUST00159,Turkey,Master's,Female,N,1926,199,Hobbyist,Basic,Y,No,31.0,Large,151,Beginner,Daily,Y
CUST00160,USA,High School,Female,N,2510,80,Student,Basic,Y,Yes,39.0,Mixed-use,124,Advanced,Weekly,N
CUST00161,UK,Doctorate,Female,Y,1200,13,Student,Basic,Y,No,39.0,Large,127,Beginner,Daily,Y
CUST00162,UK,Bachelor's,Female,N,337,4,Hobbyist,Basic,Y,Yes,26.0,Mixed-use,74,Intermediate,Weekly,N
CUST00163,Turkey,Doctorate,Female,N,2880,75,Interior Designer,Basic,N,Yes,35.0,Mixed-use,29,Intermediate,Weekly,N
CUST00164,USA,Bachelor's,Female,N,816,53,Interior Designer,Basic,Y,No,28.0,Large,41,Intermediate,Weekly,Y
CUST00165,USA,Master's,Female,N,2640,9,Hobbyist,Basic,Y,No,40.0,Large,137,Beginner,Daily,Y
CUST00166,USA,Master's,Female,N,4190,6,Interior Designer,Basic,N,Yes,39.0,Mixed-use,148,Advanced,Monthly,N
CUST00167,USA,Bachelor's,Female,N,459,2,Architect,Basic,Y,No,24.0,Large,171,Beginner,Daily,Y
CUST00168,USA,High School,Female,N,3351,7,Architect,Basic,Y,Yes,33.0,Small,139,Beginner,Daily,Y
CUST00169,USA,Bachelor's,Male,N,3639,12,Architect,Pay-as-you-go,Y,Yes,24.0,Small,188,Beginner,Daily,Y
CUST00170,USA,Master's,Male,N,373,8,Hobbyist,Premium,Y,Yes,32.0,Small,55,Intermediate,Monthly,N
CUST00171,UK,Bachelor's,Male,N,201,18,Interior Designer,Basic,Y,Yes,58.0,Mixed-use,81,Intermediate,Weekly,N
CUST00172,Azerbaijan,Bachelor's,Female,N,5461,21,Architect,Basic,Y,No,27.0,Large,167,Beginner,Daily,Y
CUST00173,USA,Master's,Female,N,3050,7,Architect,Basic,Y,No,32.0,Large,162,Intermediate,Weekly,Y
CUST00174,USA,Bachelor's,Female,N,28592,3,Hobbyist,Basic,Y,No,32.0,Large,20,Beginner,Daily,Y
CUST00175,UK,Bachelor's,Female,N,3207,5,Student,Basic,Y,Yes,28.0,Mixed-use,166,Intermediate,Weekly,N
CUST00176,USA,Doctorate,Female,N,5820,2,Interior Designer,Basic,Y,No,38.0,Large,39,Beginner,Daily,Y
CUST00177,Turkey,Bachelor's,Female,Y,3229,1,Interior Designer,Basic,Y,Yes,55.0,Mixed-use,159,Intermediate,Weekly,N
CUST00178,USA,Bachelor's,Female,N,2708,10,Architect,Basic,Y,No,29.0,Large,169,Beginner,Daily,Y
CUST00179,USA,Doctorate,Male,Y,2779,2,Student,Basic,Y,Yes,28.0,Mixed-use,28,Not Attended,Monthly,N
CUST00180,USA,High School,Female,N,977,14,Architect,Basic,Y,Yes,46.0,Small,52,Beginner,Daily,Y
CUST00181,UK,Bachelor's,Female,Y,44069,6,Hobbyist,Basic,Y,No,31.0,Large,73,Beginner,Daily,Y
CUST00182,UK,Bachelor's,Female,N,1566,69,Interior Designer,Basic,Y,No,34.0,Large,66,Beginner,Daily,Y
CUST00183,UK,Master's,Male,Y,4439,38,Interior Designer,Basic,Y,Yes,23.0,Mixed-use,57,Not Attended,Monthly,N
CUST00184,USA,Master's,Male,N,1929,1,Student,Basic,Y,Yes,28.0,Mixed-use,163,Advanced,Monthly,N
CUST00185,USA,Bachelor's,Male,N,654,46,Architect,Basic,Y,Yes,21.0,Small,51,Beginner,Weekly,Y
CUST00186,USA,High School,Female,Y,557,10,Architect,Pay-as-you-go,Y,Yes,28.0,Medium,35,Intermediate,Monthly,N
CUST00187,USA,Bachelor's,Male,N,421,5,Student,Basic,Y,Yes,27.0,Mixed-use,16,Advanced,Monthly,N
CUST00188,UK,High School,Female,N,600,9,Architect,Basic,Y,Yes,32.0,Small,136,Intermediate,Monthly,N
CUST00189,Azerbaijan,Master's,Female,N,1551,11,Hobbyist,Basic,Y,No,40.0,Large,50,Intermediate,Weekly,Y
CUST00190,UK,Doctorate,Female,N,2540,3,Student,Basic,Y,No,36.0,Large,193,Beginner,Daily,Y
CUST00191,USA,Bachelor's,Female,N,961,7,Hobbyist,Basic,Y,No,21.0,Large,125,Beginner,Daily,Y
CUST00192,USA,Doctorate,Female,N,3726,116,Architect,Basic,N,Yes,25.0,Mixed-use,162,Advanced,Monthly,N
CUST00193,Turkey,Master's,Female,N,4045,13,Hobbyist,Basic,N,Yes,27.0,Mixed-use,89,Not Attended,Monthly,N
CUST00194,USA,Master's,Female,N,128431,9,Hobbyist,Basic,Y,Yes,31.0,Mixed-use,67,Intermediate,Weekly,N
CUST00195,Canada,Master's,Female,N,2180,8,Student,Basic,Y,No,21.0,Large,172,Beginner,Daily,Y
CUST00196,USA,Bachelor's,Male,N,872,9,Architect,Basic,Y,Yes,42.0,Small,31,Beginner,Weekly,N
CUST00197,UK,Master's,Male,N,2689,2,Interior Designer,Basic,Y,Yes,26.0,Mixed-use,13,Advanced,Weekly,N
CUST00198,UK,Master's,Male,Y,2752,6,Interior Designer,Basic,Y,Yes,26.0,Mixed-use,48,Advanced,Monthly,N
CUST00199,USA,Master's,Male,N,1375,24,Interior Designer,Basic,N,Yes,33.0,Mixed-use,60,Advanced,Monthly,N
CUST00200,UK,Master's,Female,N,7320,132,Architect,Basic,Y,Yes,22.0,Mixed-use,45,Advanced,Weekly,N
CUST00201,USA,Doctorate,Female,N,3282,21,Hobbyist,Basic,Y,Yes,23.0,Mixed-use,128,Intermediate,Weekly,N
CUST00202,USA,Bachelor's,Female,N,1313,2,Hobbyist,Basic,Y,No,32.0,Large,19,Beginner,Daily,Y
CUST00203,USA,Bachelor's,Female,N,3128,1,Hobbyist,Basic,Y,No,32.0,Large,166,Beginner,Daily,Y
CUST00204,USA,Master's,Male,N,4757,19,Student,Basic,Y,Yes,40.0,Mixed-use,188,Advanced,Monthly,N
CUST00205,USA,High School,Female,N,2122,141,Student,Basic,Y,Yes,21.0,Mixed-use,55,Intermediate,Weekly,N
CUST00206,USA,High School,Female,N,2524,54,Hobbyist,Basic,Y,Yes,45.0,Small,141,Beginner,Daily,Y
CUST00207,UK,Doctorate,Female,N,766,50,Student,Basic,Y,No,31.0,Large,145,Beginner,Daily,Y
CUST00208,USA,High School,Male,N,1190,3,Interior Designer,Basic,Y,Yes,28.0,Mixed-use,53,Intermediate,Weekly,N
CUST00209,Turkey,High School,Male,N,2741,5,Architect,Pay-as-you-go,Y,Yes,30.0,Small,119,Beginner,Daily,Y
CUST00210,USA,Master's,Male,N,3233,12,Interior Designer,Basic,N,No,48.0,Large,71,Beginner,Daily,Y
CUST00211,USA,Master's,Female,N,2696,34,Other,Basic,N,No,31.0,Large,56,Intermediate,Weekly,Y
CUST00212,USA,Master's,Female,N,3980,131,Interior Designer,Basic,Y,Yes,36.0,Mixed-use,47,Intermediate,Weekly,N
CUST00213,USA,Doctorate,Male,Y,111,8,Architect,Basic,Y,Yes,23.0,Medium,143,Intermediate,Monthly,N
CUST00214,Turkey,Master's,Male,N,5396,37,Interior Designer,Basic,N,No,27.0,Large,21,Beginner,Daily,Y
CUST00215,USA,Bachelor's,Male,N,2778,0,Architect,Basic,Y,Yes,39.0,Medium,140,Advanced,Monthly,N
CUST00216,UK,Bachelor's,Male,Y,789,75,Student,Basic,Y,No,26.0,Large,65,Beginner,Daily,Y
CUST00217,USA,Master's,Female,N,1515,1,Student,Basic,N,No,40.0,Large,124,Beginner,Daily,Y
CUST00218,Turkey,Bachelor's,Female,N,26891,83,Architect,Basic,Y,Yes,29.0,Medium,117,Advanced,Monthly,N
